Дата,Группа аллергенов,Пыльца и споры,"Концентрация, ед/1 м3",Комментарий
03.07.11,Грибы,Кладоспориум,299,концентрация низкая
03.07.11,Грибы,Альтернария,11.5,концентрация единичная
02.07.11,Лиственные деревья,Ольха,0.84,концентрация единичная
02.07.11,Лиственные деревья,Береза,2.52,концентрация единичная
02.07.11,Хвойные деревья,Сосна,2.52,концентрация единичная
02.07.11,Злаки,Злаки,0.84,концентрация единичная
02.07.11,Грибы,Кладоспориум,161,концентрация низкая
01.07.11,Хвойные деревья,Сосна,0.84,концентрация единичная
01.07.11,Злаки,Злаки,2.52,концентрация единичная
01.07.11,Сорняки,Крапива,2.52,концентрация единичная
01.07.11,Грибы,Кладоспориум,920,концентрация низкая
30.06.11,Лиственные деревья,Береза,1.68,концентрация единичная
30.06.11,Хвойные деревья,Сосна,2.52,концентрация единичная
30.06.11,Сорняки,Подорожник,0.84,концентрация единичная
30.06.11,Сорняки,Крапива,1.68,концентрация единичная
30.06.11,Грибы,Кладоспориум,1104,концентрация низкая
30.06.11,Грибы,Альтернария,23,концентрация единичная
29.06.11,Грибы,Кладоспориум,782,концентрация низкая
28.06.11,Хвойные деревья,Сосна,1.68,концентрация единичная
28.06.11,Сорняки,Крапива,0.84,концентрация единичная
28.06.11,Грибы,Кладоспориум,57.5,концентрация единичная
28.06.11,Грибы,Альтернария,11.5,концентрация единичная
27.06.11,Лиственные деревья,Береза,1.68,концентрация единичная
27.06.11,Хвойные деревья,Сосна,5.04,концентрация единичная
27.06.11,Сорняки,Подорожник,0.84,концентрация единичная
27.06.11,Сорняки,Крапива,4.2,концентрация единичная
27.06.11,Грибы,Кладоспориум,425.5,концентрация низкая
27.06.11,Грибы,Альтернария,11.5,концентрация единичная
26.06.11,Хвойные деревья,Сосна,0.84,концентрация единичная
26.06.11,Злаки,Злаки,2.52,концентрация единичная
26.06.11,Сорняки,Крапива,0.84,концентрация единичная
26.06.11,Грибы,Кладоспориум,356.5,концентрация низкая
26.06.11,Грибы,Альтернария,57.5,концентрация низкая
25.06.11,Лиственные деревья,Береза,1.68,концентрация единичная
25.06.11,Хвойные деревья,Сосна,8.4,концентрация низкая
25.06.11,Грибы,Кладоспориум,103.5,концентрация низкая
25.06.11,Грибы,Альтернария,11.5,концентрация единичная
24.06.11,Хвойные деревья,Сосна,2.52,концентрация единичная
24.06.11,Злаки,Злаки,0.84,концентрация единичная
24.06.11,Грибы,Кладоспориум,460,концентрация низкая
24.06.11,Грибы,Альтернария,57.5,концентрация низкая
23.06.11,Хвойные деревья,Ель,0.84,концентрация единичная
23.06.11,Хвойные деревья,Сосна,5.88,концентрация единичная
23.06.11,Злаки,Злаки,0.84,концентрация единичная
23.06.11,Грибы,Кладоспориум,126.5,концентрация низкая
23.06.11,Грибы,Альтернария,11.5,концентрация единичная
22.06.11,Хвойные деревья,Сосна,4.2,концентрация единичная
22.06.11,Злаки,Злаки,2.52,концентрация единичная
22.06.11,Сорняки,Подорожник,0.84,концентрация единичная
22.06.11,Грибы,Кладоспориум,11.5,концентрация единичная
20.06.11,Хвойные деревья,Сосна,5.04,концентрация единичная
20.06.11,Злаки,Злаки,5.04,концентрация единичная
20.06.11,Грибы,Кладоспориум,1587,концентрация низкая
20.06.11,Грибы,Альтернария,11.5,концентрация единичная
19.06.11,Хвойные деревья,Сосна,1.68,концентрация единичная
19.06.11,Грибы,Кладоспориум,57.5,концентрация единичная
18.06.11,Хвойные деревья,Сосна,4.2,концентрация единичная
18.06.11,Грибы,Кладоспориум,23,концентрация единичная
18.06.11,Грибы,Альтернария,11.5,концентрация единичная
17.06.11,Лиственные деревья,Береза,1.68,концентрация единичная
17.06.11,Лиственные деревья,Клен,0.84,концентрация единичная
17.06.11,Хвойные деревья,Сосна,20.16,концентрация низкая
17.06.11,Злаки,Злаки,1.68,концентрация единичная
17.06.11,Грибы,Кладоспориум,310.5,концентрация низкая
16.06.11,Лиственные деревья,Ольха,0.84,концентрация единичная
16.06.11,Лиственные деревья,Береза,1.68,концентрация единичная
16.06.11,Хвойные деревья,Сосна,1.68,концентрация единичная
16.06.11,Грибы,Альтернария,11.5,концентрация единичная
15.06.11,Лиственные деревья,Береза,1.68,концентрация единичная
15.06.11,Хвойные деревья,Сосна,3.36,концентрация единичная
14.06.11,Лиственные деревья,Береза,0.84,концентрация единичная
14.06.11,Хвойные деревья,Сосна,13.44,концентрация низкая
14.06.11,Грибы,Кладоспориум,46,концентрация единичная
13.06.11,Лиственные деревья,Береза,0.84,концентрация единичная
13.06.11,Хвойные деревья,Сосна,4.2,концентрация единичная
13.06.11,Злаки,Злаки,0.84,концентрация единичная
13.06.11,Грибы,Кладоспориум,80.5,концентрация единичная
12.06.11,Лиственные деревья,Береза,1.68,концентрация единичная
12.06.11,Хвойные деревья,Сосна,9.24,концентрация низкая
12.06.11,Злаки,Злаки,0.84,концентрация единичная
12.06.11,Грибы,Кладоспориум,57.5,концентрация единичная
12.06.11,Грибы,Альтернария,11.5,концентрация единичная
11.06.11,Лиственные деревья,Ольха,3.36,концентрация единичная
11.06.11,Лиственные деревья,Береза,5.04,концентрация единичная
11.06.11,Хвойные деревья,Сосна,29.4,концентрация низкая
11.06.11,Грибы,Кладоспориум,23,концентрация единичная
10.06.11,Лиственные деревья,Ольха,0.84,концентрация единичная
10.06.11,Хвойные деревья,Ель,0.84,концентрация единичная
10.06.11,Хвойные деревья,Сосна,10.92,концентрация низкая
10.06.11,Сорняки,Крапива,0.84,концентрация единичная
09.06.11,Лиственные деревья,Береза,4.2,концентрация единичная
09.06.11,Лиственные деревья,Клен,0.84,концентрация единичная
09.06.11,Хвойные деревья,Ель,0.84,концентрация единичная
09.06.11,Хвойные деревья,Сосна,44.52,концентрация низкая
