Дата,Группа аллергенов,Пыльца и споры,"Концентрация, ед/1 м3",Комментарий
29.05.12,Грибы,Альтернария,54,спороношение слабое
28.05.12,Злаки,Злаки,35,концентрация пыльцы средняя
28.05.12,Сорняки,Крапива,12,концентрация пыльцы низкая
28.05.12,Грибы,Кладоспориум,200,спороношение слабое
28.05.12,Грибы,Альтернария,135,спороношение слабое
27.05.12,Злаки,Злаки,39,концентрация пыльцы средняя
27.05.12,Грибы,Кладоспориум,102,спороношение слабое
27.05.12,Грибы,Альтернария,45,спророношение слабое
26.05.12,Злаки,Злаки,34,концентрация пыльцы средняя
24.05.12,Злаки,Злаки,15,концентрация пыльцы низкая
23.05.12,Лиственные деревья,Липа,5,концентрация пыльцы низкая
23.05.12,Хвойные деревья,Сосна,4,концентрация пыльцы низкая
23.05.12,Злаки,Злаки,207,концентрация пыльцы высокая
23.05.12,Грибы,Кладоспориум,480,спороношение слабое
23.05.12,Грибы,Альтернария,370,спороношение слабое
22.05.12,Хвойные деревья,Сосна,4,концентрация пыльцы низкая
22.05.12,Злаки,Злаки,369,концентрация пыльцы высокая
22.05.12,Сорняки,Крапива,11,концентрация пыльцы низкая
22.05.12,Грибы,Кладоспориум,207,спороношение низкое
22.05.12,Грибы,Альтернария,150,спороношение слабое
21.05.12,Хвойные деревья,Сосна,11,концентрация пыльцы низкая
21.05.12,Злаки,Злаки,356,концентрация пыльцы высокая
21.05.12,Сорняки,Крапива,7,концентрация пыльцы низкая
21.05.12,Грибы,Кладоспориум,281,спороношение слабое
21.05.12,Грибы,Альтернария,180,спороношение слабое
20.05.12,Хвойные деревья,Сосна,12,концентрация пыльцы низкая
20.05.12,Злаки,Злаки,340,концентрация пыльцы высокая
20.05.12,Сорняки,Щавель,5,концентрация пыльцы низкая
20.05.12,Сорняки,Крапива,5,концентрация пыльцы низкая
20.05.12,Грибы,Кладоспориум,250,спороношение слабое
20.05.12,Грибы,Альтернария,130,спороношение слабое
19.05.12,Хвойные деревья,Сосна,4,концентрация пыльцы низкая
19.05.12,Злаки,Злаки,316,концентрация пыльцы высокая
19.05.12,Грибы,Кладоспориум,230,спороношение слабое
19.05.12,Грибы,Альтернария,120,спороношение слабое
18.05.12,Злаки,Злаки,207,концентрация пыльцы высокая
18.05.12,Грибы,Кладоспориум,211,спороношение слабое
18.05.12,Грибы,Альтернария,108,спороношение слабое
17.05.12,Злаки,Злаки,135,концентрация пыльцы средняя
17.05.12,Грибы,Кладоспориум,120,спороношение слабое
17.05.12,Грибы,Альтернария,89,спороношение слабое
14.05.12,Злаки,Злаки,62,концентрация пыльцы средняя
14.05.12,Грибы,Кладоспориум,209,спороношение слабое
14.05.12,Грибы,Альтернария,103,спороношение слабое
13.05.12,Злаки,Злаки,201,концентрация пыльцы высокая
13.05.12,Грибы,Кладоспориум,340,спороношение слабое
13.05.12,Грибы,Альтернария,221,спороношение слабое
11.05.12,Хвойные деревья,Сосна,4,концентрация пыльцы низкая
11.05.12,Злаки,Злаки,203,концентрация пльцы высокая
11.05.12,Сорняки,Щавель,11,концентрация пыльцы низкая
11.05.12,Сорняки,Крапива,3,концентрация пыльцы низкая
11.05.12,Грибы,Кладоспориум,312,спороношение слабое
11.05.12,Грибы,Альтернария,211,спороношение слабое
10.05.12,Хвойные деревья,Сосна,3,концентрация пыльцы низкая
